,,,,,weighted_f1,weighted_f1,macro_f1,macro_f1,macro_f1_10,macro_f1_10,micro_f1,micro_f1,positive_class_f1,positive_class_f1,no_distortion_f1,no_distortion_f1
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
valid,results_dir,splits,task,model,,,,,,,,,,,,
False,results_combined,data/splits_combined,binary,mental/mental-roberta-base,0.776,0.006,0.759,0.007,,,0.775,0.007,0.821,0.007,,
False,results_combined,data/splits_combined,binary,microsoft/deberta-v3-base,0.77,0.009,0.756,0.008,,,0.767,0.01,0.807,0.013,,
False,results_combined,data/splits_combined,multiclass,mental/mental-roberta-base,0.338,0.016,0.224,0.013,0.188,0.012,0.312,0.017,,,0.582,0.034
False,results_combined,data/splits_combined,multiclass,microsoft/deberta-v3-base,0.336,0.013,0.212,0.007,0.172,0.005,0.319,0.02,,,0.607,0.029
False,results_combined,data/splits_combined,multilabel,mental/mental-roberta-base,0.288,0.009,0.279,0.005,,,0.287,0.004,,,,
False,results_combined,data/splits_combined,multilabel,microsoft/deberta-v3-base,0.209,0.011,0.193,0.012,,,0.207,0.015,,,,
True,results,data/splits,binary,mental/mental-bert-base-uncased,0.718,0.011,0.7,0.012,,,0.715,0.01,0.768,0.008,,
True,results,data/splits,binary,roberta-base,0.72,0.029,0.7,0.031,,,0.718,0.029,0.773,0.026,,
True,results,data/splits,multiclass,mental/mental-bert-base-uncased,0.271,0.004,0.162,0.01,0.125,0.012,0.275,0.008,,,0.534,0.018
True,results,data/splits,multiclass,roberta-base,0.29,0.008,0.176,0.016,0.138,0.018,0.292,0.004,,,0.557,0.007
True,results,data/splits,multilabel,mental/mental-bert-base-uncased,0.195,0.01,0.191,0.016,,,0.202,0.004,,,,
True,results,data/splits,multilabel,roberta-base,0.209,0.011,0.207,0.021,,,0.212,0.011,,,,
True,results_cascade,data/splits,binary,cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],0.738,0.012,0.717,0.012,,,0.738,0.013,0.794,0.012,,
True,results_cascade,data/splits,multilabel,cascade[binary_mental-roberta-base+multilabel_mental-roberta-base],0.247,0.01,0.24,0.012,,,0.25,0.002,,,,
True,results_cascade_codipas_cls,data/splits_codipas_cls,binary,cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,0.713,0.02,0.709,0.02,,,0.713,0.02,0.744,0.018,,
True,results_cascade_codipas_cls,data/splits_codipas_cls,multilabel,cascade[binary_mental-roberta-base+multilabel_mental-roberta-base]@splits_codipas_cls,0.267,0.006,0.259,0.007,,,0.264,0.002,,,,
True,results_codipas,data/splits_codipas_cls,binary,mental/mental-bert-base-uncased,0.723,0.002,0.72,0.001,,,0.723,0.003,0.746,0.011,,
True,results_codipas,data/splits_codipas_cls,multiclass,mental/mental-bert-base-uncased,0.391,0.012,0.271,0.023,0.243,0.025,0.378,0.008,,,0.549,0.006
True,results_codipas,data/splits_codipas_cls,multilabel,mental/mental-bert-base-uncased,0.28,0.029,0.276,0.031,,,0.28,0.029,,,,
True,results_multiclass_v2,data/splits,multiclass,mental/mental-roberta-base,0.285,0.009,0.168,0.018,0.129,0.022,0.279,0.01,,,0.556,0.037
True,results_multiclass_v2_codipas_cls,data/splits_codipas_cls,multiclass,mental/mental-roberta-base,0.375,0.027,0.291,0.007,0.271,0.015,0.36,0.023,,,0.491,0.074
True,results_multilabel_flat,data/splits,multilabel,mental/mental-roberta-base,0.238,0.024,0.237,0.03,,,0.239,0.02,,,,
True,results_multilabel_flat_codipas_cls,data/splits_codipas_cls,multilabel,mental/mental-roberta-base,0.281,0.029,0.27,0.027,,,0.289,0.023,,,,
True,results_stage1,data/splits,binary,mental/mental-roberta-base,0.738,0.012,0.717,0.012,,,0.738,0.013,0.794,0.012,,
True,results_stage1_codipas_cls,data/splits_codipas_cls,binary,mental/mental-roberta-base,0.713,0.02,0.709,0.02,,,0.713,0.02,0.744,0.018,,
True,results_stage2,data/splits_stage2,multilabel,mental/mental-roberta-base[stage2-isolated],0.29,0.013,0.277,0.016,,,0.296,0.008,,,,
True,results_stage2_codipas_cls,data/splits_stage2_codipas_cls,multilabel,mental/mental-roberta-base[stage2-isolated],0.357,0.016,0.337,0.016,,,0.362,0.01,,,,
